Date;Calories;Carbs;Fat;Protein;Cholest;Sodium;Sugars;Fiber;Exercise;FB Cals;FB BMR?
17-Apr-15;2829;130;34;63;69;2719;8;4;993;2946;1953
18-Apr-15;2604;209;32;67;317;2757;7;3;880;3255;2375
19-Apr-15;3061;267;57;68;266;2379;13;13;654;2720;2066
20-Apr-15;2789;239;74;73;149;3096;10;6;761;2827;2066
21-Apr-15;2922;277;75;92;153;2247;9;7;801;2867;2066
22-Apr-15;2365;288;23;90;391;2204;9;24;634;2700;2066
23-Apr-15;2529;346;34;55;85;2931;13;17;1049;3115;2066
24-Apr-15;2585;285;44;72;131;3542;7;9;679;2745;2066
25-Apr-15;2797;568;33;77;8;2262;11;47;816;2879;2063
26-Apr-15;2840;168;51;51;423;2282;13;7;1237;3300;2063
27-Apr-15;2992;119;51;38;16;2742;11;4;727;2790;2063
28-Apr-15;2518;158;19;70;198;1865;8;18;715;2778;2063
29-Apr-15;3131;145;62;91;65;1641;11;7;834;2897;2063
30-Apr-15;3042;140;69;76;730;2575;12;5;912;2973;2061
1-May-15;2021;114;28;28;16;3570;8;0;1055;3118;2063
2-May-15;2593;191;82;76;160;2351;13;7;1067;3145;2078
3-May-15;2843;137;19;78;338;2244;12;6;779;2850;2071
4-May-15;2981;113;71;71;16;1408;9;4;1131;3202;2071
5-May-15;3266;138;69;61;292;2935;9;5;1112;3183;2071
6-May-15;2582;187;41;80;117;2797;12;4;921;2992;2071
7-May-15;2359;135;44;55;387;2737;12;9;932;3003;2071
8-May-15;3011;187;50;55;437;2154;7;5;1071;3142;2071
9-May-15;2489;150;35;80;198;2042;9;3;679;2741;2062
10-May-15;2700;226;33;37;16;957;27;8;1081;3143;2062
11-May-15;2814;206;19;47;23;659;7;19;868;2930;2062
12-May-15;2628;180;42;52;38;2116;7;8;802;2864;2062
13-May-15;2819;385;56;73;8;2224;15;61;825;2887;2062
14-May-15;2938;230;52;67;16;2340;20;12;1351;3413;2062
15-May-15;3051;219;48;72;65;3595;11;8;1084;3146;2062
16-May-15;3771;217;57;91;886;3005;12;7;944;3011;2067
17-May-15;3092;198;49;66;0;5559;3;2;961;3027;2066
18-May-15;2722;135;45;86;96;2155;11;6;877;2944;2067
19-May-15;3283;220;40;83;125;3596;18;5;726;2793;2067
20-May-15;3333;129;61;84;875;3045;14;7;964;3020;2056
21-May-15;3100;261;45;62;16;1936;19;6;1204;3260;2056
22-May-15;3354;337;27;57;31;869;13;20;840;2896;2056
23-May-15;2704;267;52;98;388;2677;12;7;756;2812;2056
24-May-15;2778;190;49;32;19;751;4;3;933;2996;2063
25-May-15;2603;252;29;64;127;3646;14;4;1022;3085;2063
